system:index,B11,B2,B3,B4,B8,SCL,.geo
0,2682,879,1218,1704,2053,5,"{""type"":""Point"",""coordinates"":[74.04370911598009,18.61072831682544]}"
1,2635,880,1228,1750,2100,5,"{""type"":""Point"",""coordinates"":[74.04380389643046,18.61072879819455]}"
2,2550,867,1250,1772,2062,5,"{""type"":""Point"",""coordinates"":[74.04370962087702,18.610637948857473]}"
3,2520,930,1290,1780,2084,5,"{""type"":""Point"",""coordinates"":[74.04380440127737,18.61063843022408]}"
4,2550,913,1284,1742,2031,5,"{""type"":""Point"",""coordinates"":[74.04371012577107,18.610547580888625]}"
5,2520,899,1236,1710,2030,5,"{""type"":""Point"",""coordinates"":[74.04380490612138,18.610548062252725]}"
6,2424,909,1228,1700,1974,5,"{""type"":""Point"",""coordinates"":[74.0437106306622,18.6104572129189]}"
7,2463,894,1248,1746,1964,5,"{""type"":""Point"",""coordinates"":[74.04380541096249,18.61045769428049]}"
8,2424,852,1246,1702,1982,5,"{""type"":""Point"",""coordinates"":[74.04371113555044,18.610366844948288]}"
9,2463,868,1282,1756,2020,5,"{""type"":""Point"",""coordinates"":[74.0438059158007,18.61036732630738]}"
10,2538,874,1276,1744,2038,5,"{""type"":""Point"",""coordinates"":[74.04371164043577,18.610276476976804]}"
11,2540,863,1274,1730,2034,5,"{""type"":""Point"",""coordinates"":[74.04380642063603,18.61027695833339]}"
12,2854,941,1314,1840,2194,5,"{""type"":""Point"",""coordinates"":[73.8929834619457,18.51149217460473]}"
13,2854,951,1308,1864,2276,5,"{""type"":""Point"",""coordinates"":[73.89307818311032,18.511492728978826]}"
14,2988,992,1402,2018,2416,5,"{""type"":""Point"",""coordinates"":[73.89317290427829,18.5114932833055]}"
15,2988,1128,1578,2164,2664,5,"{""type"":""Point"",""coordinates"":[73.89326762544958,18.51149383758477]}"
16,3103,1186,1606,2248,2766,5,"{""type"":""Point"",""coordinates"":[73.89336234662424,18.51149439181662]}"
17,3103,1136,1566,2242,2708,5,"{""type"":""Point"",""coordinates"":[73.89345706780223,18.511494946001054]}"
18,3182,1138,1616,2170,2684,5,"{""type"":""Point"",""coordinates"":[73.89355178898359,18.51149550013808]}"
19,3182,1144,1634,2236,2722,5,"{""type"":""Point"",""coordinates"":[73.89364651016825,18.511496054227685]}"
20,3270,1156,1636,2282,2774,5,"{""type"":""Point"",""coordinates"":[73.8937412313563,18.511496608269873]}"
