system:index,B11,B2,B3,B4,B8,SCL,.geo
0,3751,2944,2864,2662,4042,5,"{""type"":""Point"",""coordinates"":[74.04370911598009,18.61072831682544]}"
1,3879,3028,3028,2774,4160,5,"{""type"":""Point"",""coordinates"":[74.04380389643046,18.61072879819455]}"
2,3500,2668,2674,2544,3926,5,"{""type"":""Point"",""coordinates"":[74.04370962087702,18.610637948857473]}"
3,3434,2676,2666,2458,3894,5,"{""type"":""Point"",""coordinates"":[74.04380440127737,18.61063843022408]}"
4,3500,2354,2454,2402,3702,5,"{""type"":""Point"",""coordinates"":[74.04371012577107,18.610547580888625]}"
5,3434,2250,2358,2258,3610,5,"{""type"":""Point"",""coordinates"":[74.04380490612138,18.610548062252725]}"
6,3011,2066,2222,2164,3438,5,"{""type"":""Point"",""coordinates"":[74.0437106306622,18.6104572129189]}"
7,2951,1942,2112,2032,3364,5,"{""type"":""Point"",""coordinates"":[74.04380541096249,18.61045769428049]}"
8,3011,1702,1896,1836,3208,5,"{""type"":""Point"",""coordinates"":[74.04371113555044,18.610366844948288]}"
9,2951,1648,1762,1710,3146,5,"{""type"":""Point"",""coordinates"":[74.0438059158007,18.61036732630738]}"
10,2471,1300,1548,1480,2986,7,"{""type"":""Point"",""coordinates"":[74.04371164043577,18.610276476976804]}"
11,2500,1244,1460,1360,2976,5,"{""type"":""Point"",""coordinates"":[74.04380642063603,18.61027695833339]}"
12,4774,5716,5368,4984,5628,9,"{""type"":""Point"",""coordinates"":[73.8929834619457,18.51149217460473]}"
13,4774,5456,5104,4628,5500,9,"{""type"":""Point"",""coordinates"":[73.89307818311032,18.511492728978826]}"
14,4192,5008,4544,3872,5280,9,"{""type"":""Point"",""coordinates"":[73.89317290427829,18.5114932833055]}"
15,4192,4464,3962,3318,4972,9,"{""type"":""Point"",""coordinates"":[73.89326762544958,18.51149383758477]}"
16,3935,3994,3770,3264,4764,9,"{""type"":""Point"",""coordinates"":[73.89336234662424,18.51149439181662]}"
17,3935,4120,3718,3106,4708,9,"{""type"":""Point"",""coordinates"":[73.89345706780223,18.511494946001054]}"
18,3867,3908,3514,3132,4540,9,"{""type"":""Point"",""coordinates"":[73.89355178898359,18.51149550013808]}"
