system:index,B11,B2,B3,B4,B8,SCL,.geo
0,1296,376,564,386,2799,4,"{""type"":""Point"",""coordinates"":[73.49490758498082,18.57316737825848]}"
1,1485,393,584,383,3028,4,"{""type"":""Point"",""coordinates"":[73.49500232505602,18.573168134368995]}"
2,1368,358,500,308,2454,4,"{""type"":""Point"",""coordinates"":[73.49452941780054,18.57307400372364]}"
3,1319,377,519,362,2348,4,"{""type"":""Point"",""coordinates"":[73.49462415780766,18.573074760020436]}"
4,1319,351,495,345,2399,4,"{""type"":""Point"",""coordinates"":[73.49471889781934,18.573075516269675]}"
5,1526,407,540,348,2888,4,"{""type"":""Point"",""coordinates"":[73.49481363783555,18.57307627247136]}"
6,1526,432,609,402,3064,4,"{""type"":""Point"",""coordinates"":[73.49490837785633,18.57307702862549]}"
7,1570,379,607,392,3142,4,"{""type"":""Point"",""coordinates"":[73.49500311788168,18.57307778473206]}"
8,1570,411,642,435,3118,4,"{""type"":""Point"",""coordinates"":[73.49509785791157,18.57307854079108]}"
9,1632,373,647,432,3278,4,"{""type"":""Point"",""coordinates"":[73.49424599102655,18.572981384941613]}"
10,1632,401,656,423,3043,4,"{""type"":""Point"",""coordinates"":[73.49434073097012,18.572982141377132]}"
11,1368,393,528,320,2664,4,"{""type"":""Point"",""coordinates"":[73.49443547091826,18.572982897765097]}"
12,1368,375,531,315,2530,4,"{""type"":""Point"",""coordinates"":[73.49453021087095,18.572983654105506]}"
13,1319,357,505,343,2250,4,"{""type"":""Point"",""coordinates"":[73.49462495082821,18.57298441039836]}"
14,1319,390,541,373,2590,4,"{""type"":""Point"",""coordinates"":[73.49471969079002,18.572985166643658]}"
15,1526,433,580,401,3024,4,"{""type"":""Point"",""coordinates"":[73.49481443075639,18.572985922841404]}"
16,1526,423,572,390,2709,4,"{""type"":""Point"",""coordinates"":[73.49490917072731,18.57298667899159]}"
17,1570,404,605,386,2956,4,"{""type"":""Point"",""coordinates"":[73.49500391070278,18.572987435094227]}"
18,1570,400,600,392,2750,4,"{""type"":""Point"",""coordinates"":[73.4950986506828,18.572988191149307]}"
19,1543,411,556,424,2710,4,"{""type"":""Point"",""coordinates"":[73.4938678247127,18.572888009132548]}"
20,1543,420,619,443,2784,4,"{""type"":""Point"",""coordinates"":[73.49396256458819,18.572888765754342]}"
21,1509,430,621,427,2830,4,"{""type"":""Point"",""coordinates"":[73.49405730446823,18.572889522328584]}"
22,1509,415,604,374,2972,4,"{""type"":""Point"",""coordinates"":[73.49415204435283,18.572890278855272]}"
23,1513,394,617,443,2790,4,"{""type"":""Point"",""coordinates"":[73.49424678424198,18.572891035334404]}"
24,1513,425,594,427,2696,4,"{""type"":""Point"",""coordinates"":[73.4943415241357,18.572891791765983]}"
25,1462,405,565,374,2668,4,"{""type"":""Point"",""coordinates"":[73.49443626403398,18.572892548150005]}"
26,1462,398,564,378,2910,4,"{""type"":""Point"",""coordinates"":[73.49453100393681,18.572893304486474]}"
27,1494,377,540,363,2596,4,"{""type"":""Point"",""coordinates"":[73.49462574384421,18.572894060775386]}"
28,1494,416,610,410,2911,4,"{""type"":""Point"",""coordinates"":[73.49472048375615,18.572894817016746]}"
29,1530,417,585,411,2996,4,"{""type"":""Point"",""coordinates"":[73.49481522367265,18.572895573210552]}"
30,1530,410,577,408,2750,4,"{""type"":""Point"",""coordinates"":[73.49490996359371,18.5728963293568]}"
31,1561,400,593,405,2912,4,"{""type"":""Point"",""coordinates"":[73.49500470351933,18.572897085455494]}"
32,1561,416,581,412,2840,4,"{""type"":""Point"",""coordinates"":[73.4950994434495,18.57289784150663]}"
33,1543,445,598,428,2626,4,"{""type"":""Point"",""coordinates"":[73.49386861812302,18.57279765954021]}"
34,1543,437,569,409,2558,4,"{""type"":""Point"",""coordinates"":[73.49396335794864,18.57279841615806]}"
35,1509,416,574,394,2642,4,"{""type"":""Point"",""coordinates"":[73.49405809777883,18.572799172728363]}"
36,1509,416,593,419,2864,4,"{""type"":""Point"",""coordinates"":[73.49415283761358,18.572799929251108]}"
37,1513,419,642,430,2894,4,"{""type"":""Point"",""coordinates"":[73.49424757745288,18.572800685726296]}"
38,1513,397,588,398,2623,4,"{""type"":""Point"",""coordinates"":[73.49434231729673,18.572801442153935]}"
39,1462,415,585,387,2702,4,"{""type"":""Point"",""coordinates"":[73.49443705714513,18.572802198534017]}"
40,1462,421,601,412,3078,4,"{""type"":""Point"",""coordinates"":[73.49453179699812,18.572802954866546]}"
41,1494,387,615,395,3034,4,"{""type"":""Point"",""coordinates"":[73.49462653685563,18.572803711151515]}"
42,1494,422,641,406,3144,4,"{""type"":""Point"",""coordinates"":[73.49472127671773,18.572804467388938]}"
43,1530,422,605,411,3034,4,"{""type"":""Point"",""coordinates"":[73.49481601658437,18.572805223578804]}"
44,1530,428,655,478,3089,4,"{""type"":""Point"",""coordinates"":[73.49491075645557,18.57280597972111]}"
45,1561,435,643,451,2974,4,"{""type"":""Point"",""coordinates"":[73.49500549633132,18.572806735815863]}"
46,1561,460,645,425,3054,4,"{""type"":""Point"",""coordinates"":[73.49510023621163,18.572807491863067]}"
47,1578,421,609,410,3272,4,"{""type"":""Point"",""coordinates"":[73.4951949760965,18.572808247862714]}"
48,1528,418,592,420,2878,4,"{""type"":""Point"",""coordinates"":[73.4938694115288,18.572707309946978]}"
49,1528,430,583,435,2842,4,"{""type"":""Point"",""coordinates"":[73.49396415130457,18.572708066560885]}"
50,1549,444,625,446,3228,4,"{""type"":""Point"",""coordinates"":[73.49405889108489,18.572708823127243]}"
51,1549,441,659,441,3065,4,"{""type"":""Point"",""coordinates"":[73.49415363086976,18.572709579646048]}"
52,1485,415,628,430,2762,4,"{""type"":""Point"",""coordinates"":[73.4942483706592,18.5727103361173]}"
53,1485,418,645,432,2828,4,"{""type"":""Point"",""coordinates"":[73.49434311045319,18.57271109254099]}"
54,1485,448,608,394,2874,4,"{""type"":""Point"",""coordinates"":[73.49443785025176,18.572711848917137]}"
55,1485,431,596,411,3044,4,"{""type"":""Point"",""coordinates"":[73.49453259005485,18.57271260524572]}"
56,1610,407,624,405,3100,4,"{""type"":""Point"",""coordinates"":[73.49462732986252,18.572713361526755]}"
57,1610,436,641,438,3067,4,"{""type"":""Point"",""coordinates"":[73.49472206967475,18.572714117760235]}"
58,1679,445,667,460,3132,4,"{""type"":""Point"",""coordinates"":[73.49481680949152,18.572714873946158]}"
59,1679,470,682,484,3190,4,"{""type"":""Point"",""coordinates"":[73.49491154931286,18.57271563008453]}"
60,1660,476,664,505,3006,4,"{""type"":""Point"",""coordinates"":[73.49500628913874,18.572716386175344]}"
61,1660,416,670,466,2954,4,"{""type"":""Point"",""coordinates"":[73.4951010289692,18.572717142218607]}"
62,1551,434,577,416,2880,4,"{""type"":""Point"",""coordinates"":[73.49519576880421,18.572717898214314]}"
63,1528,405,597,429,2977,4,"{""type"":""Point"",""coordinates"":[73.49387020493002,18.572616960352843]}"
64,1528,422,568,439,2974,4,"{""type"":""Point"",""coordinates"":[73.49396494465591,18.572617716962814]}"
65,1549,417,579,414,2967,4,"{""type"":""Point"",""coordinates"":[73.49405968438639,18.572618473525228]}"
66,1549,403,617,380,3033,4,"{""type"":""Point"",""coordinates"":[73.49415442412139,18.57261923004009]}"
67,1485,422,638,423,2902,4,"{""type"":""Point"",""coordinates"":[73.49424916386097,18.5726199865074]}"
68,1485,415,624,423,2810,4,"{""type"":""Point"",""coordinates"":[73.49434390360511,18.572620742927153]}"
69,1485,418,597,399,2676,4,"{""type"":""Point"",""coordinates"":[73.4944386433538,18.572621499299352]}"
70,1485,403,591,415,2827,4,"{""type"":""Point"",""coordinates"":[73.49453338310704,18.572622255624]}"
71,1610,443,651,404,3106,4,"{""type"":""Point"",""coordinates"":[73.49462812286484,18.57262301190109]}"
72,1610,425,687,458,2931,4,"{""type"":""Point"",""coordinates"":[73.49472286262721,18.57262376813063]}"
73,1679,456,655,484,2886,4,"{""type"":""Point"",""coordinates"":[73.49481760239414,18.57262452431262]}"
74,1679,443,665,449,3122,4,"{""type"":""Point"",""coordinates"":[73.4949123421656,18.57262528044705]}"
75,1660,422,689,471,3072,4,"{""type"":""Point"",""coordinates"":[73.49500708194164,18.572626036533922]}"
76,1660,447,660,456,2943,4,"{""type"":""Point"",""coordinates"":[73.49510182172222,18.572626792573246]}"
77,1551,455,602,434,2770,4,"{""type"":""Point"",""coordinates"":[73.49519656150737,18.572627548565013]}"
78,1521,447,597,380,2833,4,"{""type"":""Point"",""coordinates"":[73.49387099832667,18.57252661075781]}"
79,1521,411,550,366,2632,4,"{""type"":""Point"",""coordinates"":[73.49396573800271,18.57252736736384]}"
80,1470,407,522,375,2799,4,"{""type"":""Point"",""coordinates"":[73.49406047768332,18.57252812392231]}"
81,1470,442,604,370,3060,4,"{""type"":""Point"",""coordinates"":[73.49415521736847,18.572528880433232]}"
82,1532,451,633,420,2980,4,"{""type"":""Point"",""coordinates"":[73.49424995705817,18.5725296368966]}"
