system:index,B11,B2,B3,B4,B8,SCL,.geo
0,2565,675,890,1194,1919,5,"{""type"":""Point"",""coordinates"":[74.04276131163591,18.610723500511096]}"
1,2516,697,908,1204,1863,5,"{""type"":""Point"",""coordinates"":[74.04285609205728,18.610723982357165]}"
2,2516,736,927,1274,1888,5,"{""type"":""Point"",""coordinates"":[74.04295087248155,18.610724464155535]}"
3,2410,727,962,1244,1824,5,"{""type"":""Point"",""coordinates"":[74.04304565290872,18.610724945906206]}"
4,2410,719,975,1268,1853,5,"{""type"":""Point"",""coordinates"":[74.04314043333879,18.610725427609186]}"
5,2412,735,941,1238,1791,5,"{""type"":""Point"",""coordinates"":[74.04323521377177,18.610725909264467]}"
6,2412,716,941,1252,1802,5,"{""type"":""Point"",""coordinates"":[74.04332999420764,18.610726390872053]}"
7,2488,722,930,1202,1829,5,"{""type"":""Point"",""coordinates"":[74.0434247746464,18.610726872431943]}"
8,2488,727,916,1214,1844,5,"{""type"":""Point"",""coordinates"":[74.04351955508807,18.610727353944142]}"
9,2460,752,930,1244,1820,5,"{""type"":""Point"",""coordinates"":[74.04361433553264,18.61072783540864]}"
10,2460,752,943,1262,1868,5,"{""type"":""Point"",""coordinates"":[74.04370911598009,18.61072831682544]}"
11,2329,742,969,1306,1874,5,"{""type"":""Point"",""coordinates"":[74.04380389643046,18.61072879819455]}"
12,2461,706,875,1140,1815,5,"{""type"":""Point"",""coordinates"":[74.04276181703308,18.610633132568182]}"
13,2466,684,890,1184,1834,5,"{""type"":""Point"",""coordinates"":[74.04285659740442,18.610633614411743]}"
14,2466,730,896,1222,1890,5,"{""type"":""Point"",""coordinates"":[74.04295137777866,18.610634096207608]}"
15,2401,702,949,1222,1866,5,"{""type"":""Point"",""coordinates"":[74.0430461581558,18.610634577955775]}"
16,2401,695,972,1222,1831,5,"{""type"":""Point"",""coordinates"":[74.04314093853586,18.610635059656246]}"
17,2287,747,969,1276,1825,5,"{""type"":""Point"",""coordinates"":[74.04323571891881,18.610635541309023]}"
18,2287,727,955,1258,1742,5,"{""type"":""Point"",""coordinates"":[74.04333049930466,18.610636022914107]}"
19,2268,699,930,1196,1766,5,"{""type"":""Point"",""coordinates"":[74.04342527969341,18.61063650447149]}"
20,2268,718,932,1280,1752,5,"{""type"":""Point"",""coordinates"":[74.04352006008504,18.61063698598118]}"
21,2229,753,987,1312,1859,5,"{""type"":""Point"",""coordinates"":[74.04361484047959,18.610637467443173]}"
22,2229,748,974,1312,1756,5,"{""type"":""Point"",""coordinates"":[74.04370962087702,18.610637948857473]}"
23,2210,744,967,1304,1794,5,"{""type"":""Point"",""coordinates"":[74.04380440127737,18.61063843022408]}"
24,2461,666,813,1036,1664,5,"{""type"":""Point"",""coordinates"":[74.04276232242734,18.61054276462439]}"
25,2466,665,829,1086,1688,5,"{""type"":""Point"",""coordinates"":[74.04285710274866,18.61054324646544]}"
26,2466,702,834,1124,1782,5,"{""type"":""Point"",""coordinates"":[74.04295188307289,18.610543728258797]}"
27,2401,680,893,1152,1810,5,"{""type"":""Point"",""coordinates"":[74.0430466634,18.61054421000446]}"
28,2401,691,913,1180,1764,5,"{""type"":""Point"",""coordinates"":[74.04314144373002,18.610544691702426]}"
29,2287,717,905,1200,1727,5,"{""type"":""Point"",""coordinates"":[74.04323622406295,18.610545173352698]}"
30,2287,715,932,1192,1689,5,"{""type"":""Point"",""coordinates"":[74.04333100439878,18.610545654955274]}"
31,2268,729,921,1234,1720,5,"{""type"":""Point"",""coordinates"":[74.0434257847375,18.610546136510155]}"
32,2268,718,942,1310,1733,5,"{""type"":""Point"",""coordinates"":[74.04352056507912,18.610546618017338]}"
33,2229,766,1036,1338,1705,5,"{""type"":""Point"",""coordinates"":[74.04361534542363,18.61054709947683]}"
34,2229,772,955,1274,1603,5,"{""type"":""Point"",""coordinates"":[74.04371012577107,18.610547580888625]}"
35,2210,740,974,1302,1697,5,"{""type"":""Point"",""coordinates"":[74.04380490612138,18.610548062252725]}"
36,2366,629,813,1064,1670,5,"{""type"":""Point"",""coordinates"":[74.04276282781869,18.610452396679715]}"
37,2310,612,814,1076,1648,5,"{""type"":""Point"",""coordinates"":[74.04285760808999,18.610452878518263]}"
38,2310,665,811,1078,1656,5,"{""type"":""Point"",""coordinates"":[74.04295238836418,18.610453360309112]}"
39,2322,661,863,1076,1696,5,"{""type"":""Point"",""coordinates"":[74.04304716864131,18.610453842052266]}"
40,2322,700,870,1134,1708,5,"{""type"":""Point"",""coordinates"":[74.0431419489213,18.610454323747728]}"
41,2286,667,860,1180,1687,5,"{""type"":""Point"",""coordinates"":[74.04323672920421,18.61045480539549]}"
42,2286,683,926,1194,1678,5,"{""type"":""Point"",""coordinates"":[74.04333150949,18.610455286995563]}"
43,2213,697,926,1240,1700,5,"{""type"":""Point"",""coordinates"":[74.04342628977871,18.61045576854794]}"
44,2213,708,947,1284,1690,5,"{""type"":""Point"",""coordinates"":[74.04352107007031,18.610456250052618]}"
45,2093,725,1001,1278,1578,5,"{""type"":""Point"",""coordinates"":[74.0436158503648,18.610456731509608]}"
46,2093,710,979,1282,1536,5,"{""type"":""Point"",""coordinates"":[74.0437106306622,18.6104572129189]}"
47,2283,767,1042,1356,1703,5,"{""type"":""Point"",""coordinates"":[74.04380541096249,18.61045769428049]}"
48,2366,642,854,1060,1673,5,"{""type"":""Point"",""coordinates"":[74.04276333320716,18.610362028734162]}"
49,2310,648,824,1064,1693,5,"{""type"":""Point"",""coordinates"":[74.04285811342842,18.6103625105702]}"
50,2310,645,784,1044,1615,5,"{""type"":""Point"",""coordinates"":[74.04295289365263,18.610362992358542]}"
51,2322,622,792,1040,1613,5,"{""type"":""Point"",""coordinates"":[74.04304767387968,18.610363474099195]}"
52,2322,673,821,1100,1664,5,"{""type"":""Point"",""coordinates"":[74.04314245410967,18.61036395579215]}"
53,2286,672,865,1134,1722,5,"{""type"":""Point"",""coordinates"":[74.04323723434256,18.610364437437408]}"
54,2286,668,903,1192,1710,5,"{""type"":""Point"",""coordinates"":[74.04333201457834,18.610364919034975]}"
55,2213,700,941,1212,1734,5,"{""type"":""Point"",""coordinates"":[74.04342679481701,18.610365400584843]}"
56,2213,717,945,1236,1678,5,"{""type"":""Point"",""coordinates"":[74.04352157505859,18.61036588208702]}"
57,2093,731,957,1284,1629,5,"{""type"":""Point"",""coordinates"":[74.04361635530306,18.6103663635415]}"
58,2093,770,998,1356,1722,5,"{""type"":""Point"",""coordinates"":[74.04371113555044,18.610366844948288]}"
59,2283,769,1032,1368,1841,5,"{""type"":""Point"",""coordinates"":[74.0438059158007,18.61036732630738]}"
60,2339,674,823,1042,1676,5,"{""type"":""Point"",""coordinates"":[74.04276383859272,18.610271660787735]}"
61,2291,677,807,1048,1699,5,"{""type"":""Point"",""coordinates"":[74.04285861876397,18.610272142621266]}"
62,2291,633,760,993,1575,5,"{""type"":""Point"",""coordinates"":[74.04295339893812,18.610272624407106]}"
63,2358,622,777,968,1571,5,"{""type"":""Point"",""coordinates"":[74.04304817911517,18.610273106145247]}"
64,2358,641,810,1044,1642,5,"{""type"":""Point"",""coordinates"":[74.04314295929514,18.610273587835696]}"
65,2418,682,853,1128,1780,5,"{""type"":""Point"",""coordinates"":[74.043237739478,18.61027406947845]}"
66,2418,715,920,1218,1782,5,"{""type"":""Point"",""coordinates"":[74.04333251966376,18.61027455107351]}"
67,2322,745,979,1296,1766,5,"{""type"":""Point"",""coordinates"":[74.04342729985241,18.610275032620876]}"
68,2322,737,990,1344,1788,5,"{""type"":""Point"",""coordinates"":[74.04352208004397,18.610275514120545]}"
69,2388,744,998,1350,1754,5,"{""type"":""Point"",""coordinates"":[74.04361686023843,18.610275995572522]}"
70,2388,774,1028,1396,1844,5,"{""type"":""Point"",""coordinates"":[74.04371164043577,18.610276476976804]}"
