system:index,B2,B3,B4,B8,.geo
0,651,826,718,3034,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,768,1034,903,2918,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,811,1011,916,2864,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,697,1046,857,3754,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,715,946,870,2664,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,829,1162,1154,2990,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,717,984,833,3218,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,689,929,819,2622,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,603,882,746,2946,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,594,833,685,3332,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,602,855,745,3448,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,573,817,683,3082,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,796,981,841,2802,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,772,982,955,2492,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
14,579,856,689,3978,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
15,557,849,717,2962,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
16,717,921,865,2678,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
17,656,1009,758,3416,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
18,810,1232,1078,3618,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
19,697,957,811,3334,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
20,726,1050,854,3444,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
21,509,833,709,3088,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,533,808,712,2624,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,987,1274,1600,1992,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,797,1070,1188,2282,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,1214,1470,1536,2308,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,776,962,825,920,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,655,982,847,3848,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,695,1088,982,3186,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,757,1086,928,3724,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
