system:index,B2,B3,B4,B8,.geo
0,433,559,425,2069,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,525,659,579,1711,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,572,781,592,2181,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,555,691,600,1810,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,481,605,491,1416,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,541,703,596,1914,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,482,718,560,1989,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,490,651,561,1453,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,507,654,553,1682,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,578,700,606,1924,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,502,760,609,2304,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,516,653,581,1696,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,525,679,586,1614,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,569,716,609,1612,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
14,553,706,598,2002,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
15,462,606,480,1870,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
16,579,705,578,2097,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
17,514,725,586,2038,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
18,725,1018,822,2932,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
19,609,714,612,1866,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
20,543,709,725,1935,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
21,612,896,801,2642,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,512,717,615,2062,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,946,1190,1484,1938,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,648,864,792,2316,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,974,1120,1212,1538,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,418,636,441,324,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,625,794,688,2242,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,615,800,736,1809,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,653,840,734,2296,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
