system:index,B2,B3,B4,B8,.geo
0,243,568,294,3552,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,323,517,498,2128,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,375,590,386,2890,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,292,538,456,2542,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,186,381,274,2400,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,264,524,384,3317,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,238,559,331,3340,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,319,568,557,1998,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,250,417,353,2356,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,238,430,316,2500,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,214,521,298,3426,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,225,481,316,3617,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,247,491,374,2654,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,335,512,492,1870,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
14,255,503,326,3240,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
15,236,420,306,2404,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
16,281,544,363,2432,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
17,389,653,522,2562,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
18,531,921,722,3716,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
19,372,555,533,1834,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
20,375,686,549,3029,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
21,437,690,643,2558,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,387,613,509,2309,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,865,1148,1548,1994,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,426,650,651,2270,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,717,916,995,1594,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,330,586,343,275,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,291,574,442,3487,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,426,663,673,1918,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,377,603,557,3016,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
