system:index,B2,B3,B4,B8,.geo
0,152,420,247,3981,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,266,697,383,3248,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,325,615,427,2797,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,225,598,391,3481,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,175,459,336,2484,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,417,709,643,3197,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,197,527,428,3326,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,256,592,434,2526,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,216,518,375,2596,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,228,429,343,3207,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,171,475,350,3698,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,194,396,293,3280,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,264,615,485,3060,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,225,457,455,1900,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
14,163,471,271,4397,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
15,138,473,215,2999,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
16,236,508,399,2864,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
17,267,781,375,3636,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
18,497,988,869,3436,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
19,302,659,547,2318,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
20,325,843,499,3807,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
21,296,642,604,2765,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,259,567,479,2468,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,861,1170,1632,2068,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,376,689,841,2180,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,713,936,1108,1730,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,216,539,294,227,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,147,575,376,3834,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,251,716,498,2796,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,223,673,539,3265,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
