system:index,B2,B3,B4,B8,.geo
0,6696,6036,5704,6256,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
1,5148,4196,4516,4792,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
2,5560,5332,5008,5328,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
3,6376,5996,5536,6044,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
4,3182,2410,2428,3436,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
5,4660,4476,4404,4688,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
6,4832,4288,3852,4560,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
7,4116,3724,3338,4124,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
8,6896,6336,5860,6324,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
9,6364,6148,5460,6100,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
10,5384,4956,4764,5220,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
11,3328,3106,2822,3348,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
12,3670,3348,2824,3702,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
13,3760,3716,3542,3904,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
14,5484,5716,5568,5384,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
15,5440,4736,4184,5136,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
16,5024,5104,4748,5124,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
17,2478,2320,1786,3282,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
18,1404,1556,1272,2512,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
19,1788,1406,1228,2544,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
20,3960,3444,4300,3928,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
21,3514,3298,3110,3862,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
22,2408,2866,3062,3144,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
23,2968,3024,2786,3364,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
24,6872,6280,5916,6324,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
25,6608,6548,6572,6368,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
26,6120,5712,5460,5948,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
27,3282,3332,3152,3914,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
28,4688,4228,3748,4636,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
29,4268,4120,3510,4344,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
