system:index,B2,B3,B4,B8,.geo
0,591,660,544,2018,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
1,522,617,388,3244,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
2,495,572,388,2534,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
3,616,722,519,2555,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
4,572,726,476,2907,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
5,652,884,550,3883,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
6,532,651,453,2381,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
7,561,691,445,2712,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
8,504,628,410,2813,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
9,532,645,403,2800,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
10,756,910,900,2241,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
11,656,781,510,3100,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
12,1092,1170,1158,1791,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
13,637,718,468,568,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
14,556,643,472,3017,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
15,670,769,604,2469,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
16,738,833,721,2392,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
17,507,593,349,2668,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
18,536,605,446,2074,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
19,629,783,547,2241,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
20,543,658,413,2932,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
21,554,600,414,2353,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
22,615,680,521,2308,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
23,645,730,488,2958,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
24,733,755,589,2038,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
25,668,703,510,2284,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
26,656,713,537,2348,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
27,537,655,416,2986,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
28,472,583,370,2956,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
29,556,592,412,2591,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
