system:index,B2,B3,B4,B8,.geo
0,627,811,647,3452,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,760,961,836,2736,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,772,1002,829,2952,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,667,880,732,3646,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,655,821,706,2502,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,857,1172,1226,2620,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,640,847,711,2912,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,827,1016,943,2482,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,705,895,777,2584,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,776,901,794,2768,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,689,856,761,3068,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,614,771,660,2768,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,709,825,755,2702,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,772,946,902,2250,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
14,618,838,685,3542,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
15,617,802,695,2790,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
16,673,890,822,2544,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
17,706,952,763,3166,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
18,758,1122,915,3594,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
19,694,896,802,2842,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
20,716,966,810,3064,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
21,906,1082,1014,2966,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,699,825,753,1874,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,1234,1460,1744,2116,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,908,1126,1192,2420,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,1015,1210,1244,2042,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,791,958,812,905,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,773,980,853,3392,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,802,1036,929,2912,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,830,1078,976,3218,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
