system:index,B2,B3,B4,B8,.geo
0,286,631,325,3356,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,452,583,586,1772,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,479,669,511,2740,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,386,591,421,2675,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,377,473,408,2132,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,445,591,543,2448,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,456,757,510,2525,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,462,658,580,1776,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,352,583,442,2294,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,354,534,425,2229,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,453,705,522,2670,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,438,724,464,3338,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,375,589,496,2150,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,443,569,540,1959,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
14,382,634,581,2636,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
15,305,501,353,2548,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
16,343,461,399,2049,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
17,465,677,546,2482,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
18,516,882,691,3388,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
19,373,544,497,1858,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
20,529,782,651,2730,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
21,356,614,562,2763,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,275,503,390,2374,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,811,1106,1502,1999,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,419,625,618,2138,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,632,665,767,1355,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,296,524,295,282,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,361,636,492,3241,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,511,698,705,1837,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,511,729,655,2690,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
