system:index,B2,B3,B4,B8,.geo
0,259,373,238,2438,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,345,461,363,1656,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,343,578,345,1970,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,407,541,393,2246,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,456,514,410,1598,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,597,647,617,1993,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,411,562,375,2465,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,424,474,352,1569,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,460,556,397,1966,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,333,427,312,1967,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,409,530,409,2511,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,426,583,387,2297,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,396,499,367,2077,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,315,390,303,1744,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
14,301,468,273,2678,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
15,251,386,251,2217,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
16,293,424,289,2267,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
17,308,465,318,2509,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
18,357,695,421,3618,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
19,312,455,318,1984,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
20,388,599,429,2556,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
21,406,626,454,2785,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,397,569,411,2420,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,609,720,918,1327,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,504,647,511,2626,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,732,857,836,1396,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,290,407,243,224,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,439,596,466,2533,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,409,533,402,2196,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,386,543,392,2314,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
