system:index,B2,B3,B4,B8,.geo
0,252,540,312,3850,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,289,673,418,3056,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,360,638,460,2910,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,339,576,575,2762,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,283,469,383,2396,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,375,633,571,3232,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,250,587,461,3488,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,414,665,612,2140,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,302,518,463,2402,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,298,505,420,2542,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,260,531,380,3620,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,254,530,466,3370,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,346,545,569,2426,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,302,610,477,3526,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
14,514,784,868,2160,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
15,503,736,855,2776,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
16,307,530,530,2062,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
17,224,526,298,3802,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
18,250,463,377,2492,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
19,292,558,446,2568,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
20,386,720,539,2662,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
21,590,1000,771,3674,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
22,357,578,563,1912,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
23,363,809,491,3836,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
