system:index,B2,B3,B4,B8,.geo
0,496,640,440,2414,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,587,669,604,1604,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,639,761,617,2112,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,572,694,568,1878,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,560,633,535,1324,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,605,723,577,1985,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,585,710,552,2029,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,573,661,585,1427,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,617,677,604,1906,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,581,655,586,1753,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,600,719,581,2264,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,599,672,547,1724,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,578,688,579,1562,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,686,781,646,1710,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
14,583,674,584,1882,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
15,511,568,469,2138,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
16,589,682,564,1658,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
17,630,755,613,2076,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
18,744,1001,834,3132,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
19,584,655,561,2106,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
20,703,805,718,2210,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
21,639,831,777,2490,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,552,665,579,2214,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,922,1154,1410,1876,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,659,839,717,2442,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,931,1054,1088,1390,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,480,599,396,329,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,651,811,692,2580,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,748,844,806,1630,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,786,881,777,2402,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
