system:index,B2,B3,B4,B8,.geo
0,548,753,769,2227,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
1,374,668,432,3884,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
2,357,557,452,3012,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
3,456,650,588,2633,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
4,448,788,519,3462,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
5,556,1010,731,4046,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
6,438,694,527,2968,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
7,481,786,538,3522,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
8,348,604,377,3603,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
9,487,750,572,2984,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
10,550,811,615,3153,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
11,412,675,436,3748,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
12,434,560,506,2321,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
13,778,956,1058,2607,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
14,383,675,453,3130,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
15,755,1002,879,2437,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
16,453,702,534,2676,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
17,603,750,700,2702,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
18,376,621,486,3256,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
19,364,564,423,2830,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
20,422,672,516,2722,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
21,523,824,869,2864,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,435,668,568,2458,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,1019,1242,1672,2026,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,653,893,1019,2342,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,848,952,1056,1958,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,662,817,665,719,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,426,692,514,3472,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,470,756,703,3198,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,655,960,937,3318,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
