system:index,B2,B3,B4,B8,.geo
0,500,666,449,3606,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,576,805,585,3052,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,669,801,623,2768,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,565,767,558,3508,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,538,677,556,2430,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,649,836,753,3008,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,559,720,538,3060,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,659,824,721,2244,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,599,750,565,2740,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,619,739,596,2552,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,557,672,510,3348,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,535,667,507,2888,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,591,753,597,2988,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,647,747,678,2072,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
14,561,692,512,3658,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
15,551,726,498,3042,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
16,583,708,580,2732,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
17,613,938,601,3274,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
18,749,1060,894,3216,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
19,575,758,619,2574,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
20,605,933,589,3580,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
21,615,828,729,2872,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,607,796,631,2532,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,903,1064,1350,1792,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,730,846,861,2200,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,861,1002,1072,1914,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,623,742,540,485,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,605,825,588,3396,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,670,967,753,3086,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,693,879,754,3218,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
