system:index,B2,B3,B4,B8,.geo
0,394,553,440,2352,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,432,567,551,1636,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,439,661,468,2554,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,445,610,498,1800,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,406,528,436,1732,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,501,663,601,1781,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,468,609,572,1556,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,475,597,565,1223,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,428,531,449,1722,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,562,678,636,1676,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,518,646,642,1556,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,498,638,630,1396,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,494,573,536,1462,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,530,611,557,1680,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
14,481,627,630,1606,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
15,346,484,343,2024,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
16,478,551,518,1776,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
17,512,688,542,2138,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
18,543,807,682,2728,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
19,509,575,552,1660,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
20,555,733,626,2510,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
21,576,798,655,2459,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,545,709,576,2230,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,935,1146,1466,1835,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,602,785,736,2168,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,794,857,955,1294,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,509,673,433,336,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,558,752,698,2436,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,700,808,755,1704,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,622,772,712,2244,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
