system:index,B2,B3,B4,B8,.geo
0,403,500,306,2649,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,374,502,374,1678,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,493,672,467,2030,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,446,539,373,2559,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,532,579,432,1803,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,606,728,600,2115,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,459,560,384,2589,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,561,634,503,1563,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,532,610,451,1967,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,528,611,463,2062,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,490,580,419,2684,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,501,608,430,2453,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,579,626,504,1903,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,453,522,417,1784,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
14,457,573,381,2654,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
15,493,539,397,2111,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
16,662,720,532,2324,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
17,590,680,525,2143,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
18,724,882,654,3183,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
19,402,518,393,2111,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
20,587,756,528,2525,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
21,516,778,646,2909,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,451,613,429,2632,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,615,698,858,1315,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,520,686,460,2807,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,866,1001,1088,1544,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,391,529,314,313,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,531,643,527,2696,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,338,512,388,2197,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,440,570,455,2342,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
