system:index,B2,B3,B4,B8,.geo
0,220,547,268,3960,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,345,672,498,3176,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,449,685,525,2820,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,296,601,363,4124,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,319,548,432,2702,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,550,927,1084,2661,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,307,581,397,3204,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,508,830,778,2656,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,352,654,487,2944,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,417,668,565,2968,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,269,529,416,3426,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,275,485,386,3082,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,363,576,457,2956,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,389,728,560,3303,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
14,323,588,484,2607,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
15,941,1216,1600,2032,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
16,543,826,921,2120,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
17,735,979,1005,1938,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
18,489,693,525,574,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
19,321,670,467,3824,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
20,332,725,580,3326,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
21,375,750,604,3793,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
22,383,644,617,2286,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
23,241,567,351,4042,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
24,239,518,327,3175,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
25,336,575,463,2881,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
26,367,738,424,3624,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
27,537,1056,742,4086,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
28,338,599,433,3138,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
29,379,761,476,3586,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
