system:index,B2,B3,B4,B8,.geo
0,508,687,719,2416,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
1,318,586,352,4024,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
2,309,543,367,3300,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
3,435,639,551,2874,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
4,440,818,475,3660,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
5,612,1042,810,4074,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
6,442,625,511,3044,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
7,458,865,529,3864,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
8,308,568,318,3914,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
9,435,743,557,3172,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
10,500,710,583,2764,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
11,372,607,427,3838,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
12,392,622,495,2492,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
13,605,920,992,2802,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
14,352,635,421,3310,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
15,645,888,894,2476,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
16,437,644,490,2828,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
17,482,749,654,2888,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
18,385,620,462,3460,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
19,322,547,363,3008,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
20,368,599,484,3034,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
21,464,778,697,3149,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,428,623,556,2599,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,962,1220,1570,2055,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,637,868,1028,2266,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,831,993,1100,1938,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,624,794,634,684,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,404,668,519,3642,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,513,846,671,3398,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,599,936,802,3602,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
