system:index,B2,B3,B4,B8,.geo
0,1018,1208,1116,2338,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,984,966,768,2050,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,1260,1240,1144,2214,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,1156,1144,1098,2556,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,838,805,644,1406,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,883,885,947,1926,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,724,777,594,2200,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,865,919,769,1594,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,907,818,717,1902,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,1216,1122,999,2144,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,691,793,604,2596,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,642,716,601,2122,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,671,695,584,1838,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,1112,1554,1184,2312,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
14,2800,2646,2298,3272,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
15,2558,2240,2188,2990,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
16,1800,1798,1660,2700,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
17,2020,1874,1496,2698,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
18,1506,1600,1310,2476,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
19,973,997,825,2270,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
20,774,832,605,2024,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
21,650,786,718,2396,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,610,715,559,2382,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,932,1020,1146,1524,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,749,889,714,2852,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,1078,1166,1162,1622,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,633,913,890,827,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,785,925,783,2578,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,983,1064,979,2418,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,1058,1188,1096,2386,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
