system:index,B2,B3,B4,B8,.geo
0,532,658,450,2625,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,542,627,471,1806,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,533,766,571,1925,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,500,619,425,2590,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,442,567,412,1909,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,587,749,642,2173,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,514,672,454,2699,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,561,639,543,1645,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,564,705,540,2233,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,567,681,483,2043,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,461,606,440,2530,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,517,661,478,2493,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,498,576,436,2142,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,627,749,598,2072,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
14,410,594,374,2912,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
15,417,514,334,2497,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
16,455,564,375,2108,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
17,510,670,478,2404,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
18,524,780,538,3538,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
19,568,714,545,2288,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
20,581,742,556,2453,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
21,403,566,408,2419,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,366,541,367,2462,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,560,656,725,1023,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,654,839,614,3061,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,926,1078,1082,1583,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,533,701,470,500,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,567,775,589,2896,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,678,815,680,2129,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,725,896,777,2318,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
