system:index,B2,B3,B4,B8,.geo
0,1696,1404,976,2618,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,784,1005,766,3864,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,1350,1488,1072,4074,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,6056,5868,5712,5844,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,5908,5684,5392,5508,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,3000,3310,3520,3594,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,6144,5884,5464,5776,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,8760,8336,8000,7520,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,9040,8648,8248,7920,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,10208,9616,9152,8488,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,7632,7040,6668,6732,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,883,1002,773,2532,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,3834,4050,4096,4408,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,10488,9968,9640,9104,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
14,11408,10840,10448,9648,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
15,4496,4116,3764,4396,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
16,1005,1324,1156,3374,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
17,1574,1692,1664,2436,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
18,1054,1004,844,805,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
19,1352,1622,1206,4472,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
20,5780,5592,5528,5348,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
21,7684,7184,6640,6624,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
22,6984,6640,6308,6256,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
23,2956,2974,2984,3742,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
24,1992,1596,1212,2930,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
25,2924,2644,2144,3728,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
26,1232,1322,1202,2654,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
27,6208,5936,5668,5936,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
28,643,847,526,3986,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
29,599,819,492,3602,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
