system:index,B2,B3,B4,B8,.geo
0,404,543,304,3115,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,425,521,364,2308,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,528,704,481,2378,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,3808,3618,3278,4565,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,4792,4768,4796,4676,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,2712,2768,2490,3454,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,462,634,355,3134,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,5180,5360,5444,5972,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,921,917,632,2900,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,659,740,535,2570,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,588,678,472,3159,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,372,534,318,3295,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,351,469,320,3006,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,775,874,747,2116,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
14,473,600,345,3511,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
15,587,663,447,3043,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
16,431,503,332,1591,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
17,615,794,507,3504,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
18,660,938,566,4148,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
19,533,653,450,2574,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
20,419,663,392,3228,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
21,385,576,300,3263,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,313,365,220,1195,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,591,811,729,2471,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,633,796,505,3007,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,1002,1092,1030,1822,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,495,608,390,329,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,437,652,406,3898,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,496,658,455,3011,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,572,695,508,2180,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
