system:index,B2,B3,B4,B8,.geo
0,438,627,570,2221,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
1,322,592,356,4004,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
2,328,527,378,3150,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
3,453,594,516,2854,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
4,419,771,444,3610,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
5,605,1009,737,4072,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
6,342,578,426,3140,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
7,424,782,476,3670,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
8,312,505,301,4006,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
9,401,714,482,3223,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
10,511,716,548,2956,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
11,354,610,334,4144,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
12,360,588,401,2662,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
13,602,915,939,2850,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
14,379,612,400,3185,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
15,616,842,762,2469,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
16,384,625,450,2924,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
17,543,699,608,2897,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
18,353,529,428,3480,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
19,316,516,372,3047,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
20,388,558,464,3012,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
21,416,709,592,3251,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,318,565,433,2705,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,956,1208,1598,2002,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,577,884,974,2276,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,777,954,1044,1892,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,616,788,605,669,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,363,637,497,3674,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,471,776,548,3355,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,506,838,678,3786,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
