system:index,B2,B3,B4,B8,.geo
0,3038,2768,2556,2796,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,1046,811,637,1262,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,2988,3140,2580,3804,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,1016,759,432,1610,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,9664,9280,8560,8680,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,8084,7416,6932,6768,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,13752,13272,12776,11824,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,8776,8504,8240,7960,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,12008,11248,10312,10192,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,4420,4420,4440,4336,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,13480,12848,12552,11400,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,590,602,453,1106,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,772,684,518,1466,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,4644,4796,4828,5379,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
14,16720,14808,13728,13392,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
15,17840,16120,15520,14432,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
16,8136,7480,6788,5912,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
17,12968,12120,11008,10832,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
18,13624,11952,11312,10872,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
19,5576,5748,5548,6277,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
20,6992,6800,6744,6584,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
21,3620,3666,3486,4204,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,4692,4232,3792,4940,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,6088,6004,5860,5992,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,590,647,447,1496,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,1672,1726,1704,2266,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,1154,1212,1052,1462,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,808,818,646,1768,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,5340,5208,4868,5533,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,4160,4116,3956,4396,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
