system:index,B2,B3,B4,B8,.geo
0,263,572,347,3206,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,408,611,611,1836,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,285,591,430,2786,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,299,608,495,2530,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,218,446,361,2178,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,294,625,449,2833,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,273,658,384,2894,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,354,576,514,1788,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,208,497,397,2150,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,228,479,368,2548,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,260,636,449,3046,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,228,591,373,3473,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,293,540,408,2464,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,258,495,480,1818,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
14,267,544,441,2776,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
15,172,469,313,2362,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
16,260,532,409,2278,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
17,391,665,598,2499,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
18,526,910,761,3476,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
19,348,522,524,1722,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
20,400,699,639,2932,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
21,277,626,550,2770,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,287,567,534,2408,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,813,1144,1580,2048,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,381,631,699,2316,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,749,965,1128,1681,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,182,507,258,214,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,250,573,483,3462,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,308,639,622,1935,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,304,630,539,2964,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
