system:index,B2,B3,B4,B8,.geo
0,3392,3322,3064,3974,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,3522,3432,3300,4012,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,3146,2788,2578,3682,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,2596,2568,2302,3516,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,2724,2680,2422,3488,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,2382,2218,2096,3376,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,2534,2588,2248,3428,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,3650,3586,3284,4156,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,3228,2942,2674,3758,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,3436,3366,3088,3986,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,3208,3000,2750,3760,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,2668,2634,2578,3444,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,1996,1926,1702,3074,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,5536,5180,4836,5040,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
14,2702,2576,2480,3628,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
15,2554,2456,2448,3508,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
16,3228,3074,2846,3820,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
17,2966,2864,2696,3702,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
18,3328,3292,3152,4034,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
19,3510,3378,3206,3960,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
20,2888,2812,2498,3898,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
21,3318,3242,2858,4528,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,4128,3952,3768,4616,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,3118,3178,2962,3986,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,3738,3554,3200,3968,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,4168,3968,3648,4176,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,3838,3554,3310,3906,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,6092,5672,5324,5444,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,5956,5560,5208,5332,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,5772,5368,4960,5216,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
