system:index,B2,B3,B4,B8,.geo
0,422,613,396,3185,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
1,677,775,568,2400,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
2,973,1108,855,2467,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
3,669,812,593,2968,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
4,739,763,621,2105,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
5,871,872,722,1773,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
6,2226,2370,2270,3194,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
7,878,883,727,1894,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
8,960,946,758,2462,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
9,793,886,654,2445,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
10,805,857,696,2807,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
11,919,963,732,2792,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
12,987,918,723,1543,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
13,1026,1044,870,2385,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
14,486,639,404,3261,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
15,494,635,424,2683,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
16,677,780,589,2513,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
17,656,776,570,2958,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
18,735,925,636,3476,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
19,683,752,586,2448,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
20,611,785,561,3020,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
21,1256,1272,905,3150,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
22,4656,4612,4464,4667,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
23,944,1009,885,1668,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
24,968,919,681,1464,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
25,1198,1028,964,953,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
26,752,866,655,566,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
27,1120,1208,955,3609,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
28,1062,1086,850,3018,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
29,1142,1228,1002,2640,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
