system:index,B2,B3,B4,B8,.geo
0,667,860,745,2910,"{""type"":""Point"",""coordinates"":[73.75987078238757,18.672327121601604]}"
1,637,802,666,2454,"{""type"":""Point"",""coordinates"":[73.75779624906843,18.67077723499532]}"
2,1008,1210,1498,1904,"{""type"":""Point"",""coordinates"":[73.77467477926106,18.670436329868533]}"
3,774,922,984,2114,"{""type"":""Point"",""coordinates"":[73.78744841405882,18.620638286087637]}"
4,877,999,1006,1784,"{""type"":""Point"",""coordinates"":[73.78432267293265,18.620347027127526]}"
5,687,806,609,573,"{""type"":""Point"",""coordinates"":[73.82894832471943,18.608972870354712]}"
6,650,832,681,3252,"{""type"":""Point"",""coordinates"":[73.7357522534628,18.58758666480997]}"
7,713,987,779,3222,"{""type"":""Point"",""coordinates"":[73.73719359286203,18.584885430315445]}"
8,764,945,800,3222,"{""type"":""Point"",""coordinates"":[73.73729966489705,18.583349965303213]}"
9,713,829,803,2170,"{""type"":""Point"",""coordinates"":[73.74085937009741,18.576054340017542]}"
10,593,745,560,3552,"{""type"":""Point"",""coordinates"":[73.82904239450096,18.553579242737555]}"
11,600,743,580,2938,"{""type"":""Point"",""coordinates"":[73.82715619069478,18.55230240929637]}"
12,627,761,676,2678,"{""type"":""Point"",""coordinates"":[73.82956229104438,18.546805012412513]}"
13,656,905,617,3252,"{""type"":""Point"",""coordinates"":[73.82521729940908,18.544880344457553]}"
14,819,1060,916,3284,"{""type"":""Point"",""coordinates"":[73.82854050086982,18.54381659550689]}"
15,629,798,637,2740,"{""type"":""Point"",""coordinates"":[73.7744340963444,18.531906539257935]}"
16,681,932,655,3452,"{""type"":""Point"",""coordinates"":[73.79055450167127,18.529660913549442]}"
17,586,727,557,3544,"{""type"":""Point"",""coordinates"":[73.86509225149409,18.56093840803539]}"
18,636,845,669,2884,"{""type"":""Point"",""coordinates"":[73.85610992103034,18.558082806864604]}"
19,716,858,703,2718,"{""type"":""Point"",""coordinates"":[73.84646470586776,18.555222741555564]}"
20,635,810,618,3488,"{""type"":""Point"",""coordinates"":[73.85392648250487,18.54451455922628]}"
21,637,762,643,2388,"{""type"":""Point"",""coordinates"":[73.8516720950734,18.541609130281362]}"
22,705,884,853,2802,"{""type"":""Point"",""coordinates"":[73.8489338202096,18.54023696242645]}"
23,636,762,612,2922,"{""type"":""Point"",""coordinates"":[73.84442782948553,18.534064522940973]}"
24,785,964,890,2304,"{""type"":""Point"",""coordinates"":[73.83514533517442,18.53382678949853]}"
25,629,831,688,2642,"{""type"":""Point"",""coordinates"":[73.83828124803038,18.532400233869634]}"
26,697,805,723,2566,"{""type"":""Point"",""coordinates"":[73.83364434346669,18.53164873780915]}"
27,594,740,579,3248,"{""type"":""Point"",""coordinates"":[73.8401850095257,18.531056431377856]}"
28,566,698,563,2718,"{""type"":""Point"",""coordinates"":[73.85961016707546,18.53036135604759]}"
29,628,778,630,2788,"{""type"":""Point"",""coordinates"":[73.85080689197136,18.529313991181148]}"
