system:index,B11,B2,B3,B4,B8,SCL,.geo
0,4082,6232,5856,5644,5332,9,"{""type"":""Point"",""coordinates"":[73.55892010170632,18.35075166921512]}"
1,4118,6268,5864,5556,5324,9,"{""type"":""Point"",""coordinates"":[73.55901472254952,18.350752384821295]}"
2,4118,6248,5908,5612,5360,9,"{""type"":""Point"",""coordinates"":[73.55910934339707,18.350753100380512]}"
3,4113,6288,5912,5636,5360,9,"{""type"":""Point"",""coordinates"":[73.55920396424895,18.350753815892787]}"
4,4113,6328,5892,5648,5332,9,"{""type"":""Point"",""coordinates"":[73.55929858510517,18.350754531358103]}"
5,4082,6212,5888,5648,5328,9,"{""type"":""Point"",""coordinates"":[73.55892085112544,18.35066131485571]}"
6,4118,6244,5908,5596,5360,9,"{""type"":""Point"",""coordinates"":[73.55901547191947,18.350662030458114]}"
7,4118,6276,5968,5636,5368,9,"{""type"":""Point"",""coordinates"":[73.55911009271784,18.35066274601357]}"
8,4113,6232,6000,5644,5392,9,"{""type"":""Point"",""coordinates"":[73.55920471352057,18.35066346152207]}"
9,4113,6232,5992,5596,5392,9,"{""type"":""Point"",""coordinates"":[73.55929933432763,18.350664176983624]}"
10,4101,6212,5924,5620,5312,9,"{""type"":""Point"",""coordinates"":[73.5589216005402,18.350570960495414]}"
11,4126,6268,5944,5636,5416,9,"{""type"":""Point"",""coordinates"":[73.55901622128506,18.350571676094056]}"
12,4126,6332,6000,5644,5448,9,"{""type"":""Point"",""coordinates"":[73.55911084203429,18.35057239164574]}"
13,4098,6332,5992,5644,5480,9,"{""type"":""Point"",""coordinates"":[73.55920546278783,18.350573107150478]}"
14,4098,6308,5988,5596,5392,9,"{""type"":""Point"",""coordinates"":[73.55930008354572,18.350573822608265]}"
15,4101,6288,5924,5604,5376,9,"{""type"":""Point"",""coordinates"":[73.55892234995062,18.35048060613423]}"
16,4126,6308,5992,5660,5468,9,"{""type"":""Point"",""coordinates"":[73.55901697064633,18.350481321729102]}"
17,4126,6300,6012,5688,5448,9,"{""type"":""Point"",""coordinates"":[73.55911159134638,18.350482037277022]}"
18,4098,6372,6020,5628,5440,9,"{""type"":""Point"",""coordinates"":[73.55920621205077,18.350482752777992]}"
19,4098,6336,5968,5576,5384,9,"{""type"":""Point"",""coordinates"":[73.55930083275949,18.35048346823201]}"
20,4159,6308,6000,5656,5428,9,"{""type"":""Point"",""coordinates"":[73.55892309935669,18.350390251772165]}"
21,4152,6372,6024,5664,5492,9,"{""type"":""Point"",""coordinates"":[73.55901772000324,18.350390967363268]}"
22,4152,6352,6012,5704,5488,9,"{""type"":""Point"",""coordinates"":[73.55911234065412,18.35039168290742]}"
23,4099,6352,6000,5576,5436,9,"{""type"":""Point"",""coordinates"":[73.55920696130936,18.350392398404622]}"
24,4099,6308,5924,5556,5416,9,"{""type"":""Point"",""coordinates"":[73.55930158196891,18.350393113854874]}"
25,5977,7684,7536,7284,7036,9,"{""type"":""Point"",""coordinates"":[73.39976739133856,18.62560165782562]}"
26,5977,7940,7780,7572,7280,9,"{""type"":""Point"",""coordinates"":[73.39986215613165,18.625602463905793]}"
27,6161,8156,7880,7592,7480,9,"{""type"":""Point"",""coordinates"":[73.39995692092957,18.625603269938274]}"
28,5977,7580,7472,7276,7044,9,"{""type"":""Point"",""coordinates"":[73.39976823687539,18.62551131278329]}"
29,5977,7684,7584,7448,7160,9,"{""type"":""Point"",""coordinates"":[73.39986300161844,18.625512118859273]}"
30,6161,7772,7692,7500,7280,9,"{""type"":""Point"",""coordinates"":[73.39995776636634,18.625512924887566]}"
31,5867,7408,7192,7072,6808,9,"{""type"":""Point"",""coordinates"":[73.39976908240735,18.625420967740055]}"
32,5867,7376,7272,7168,6876,9,"{""type"":""Point"",""coordinates"":[73.39986384710039,18.62542177381185]}"
33,6088,7332,7320,7348,6948,9,"{""type"":""Point"",""coordinates"":[73.39995861179827,18.625422579835952]}"
34,6689,15448,14232,12640,12648,9,"{""type"":""Point"",""coordinates"":[73.43269919100543,18.558475059457876]}"
35,6561,15280,13904,12344,12424,9,"{""type"":""Point"",""coordinates"":[73.43279392019704,18.558475846213707]}"
36,6561,14872,13512,12224,11960,9,"{""type"":""Point"",""coordinates"":[73.43288864939339,18.558476632922034]}"
37,6567,14616,13368,12400,11760,9,"{""type"":""Point"",""coordinates"":[73.4329833785945,18.558477419582843]}"
38,6567,14776,13584,12608,11856,9,"{""type"":""Point"",""coordinates"":[73.43307810780031,18.558478206196146]}"
39,6514,14832,13752,12584,12040,9,"{""type"":""Point"",""coordinates"":[73.4331728370109,18.558478992761938]}"
40,6514,14664,13536,12480,11944,9,"{""type"":""Point"",""coordinates"":[73.4332675662262,18.558479779280223]}"
41,6331,14440,13464,12344,11776,9,"{""type"":""Point"",""coordinates"":[73.43336229544629,18.558480565750994]}"
42,6331,14344,13264,12248,11752,9,"{""type"":""Point"",""coordinates"":[73.43345702467107,18.558481352174258]}"
43,6197,14376,13104,12120,11592,9,"{""type"":""Point"",""coordinates"":[73.43355175390062,18.55848213855001]}"
44,6197,14208,12848,11960,11336,9,"{""type"":""Point"",""coordinates"":[73.4336464831349,18.558482924878255]}"
45,6107,13856,12688,11952,11168,9,"{""type"":""Point"",""coordinates"":[73.43374121237393,18.55848371115898]}"
46,6107,13624,12656,11824,11096,9,"{""type"":""Point"",""coordinates"":[73.43383594161769,18.558484497392207]}"
47,5934,13456,12440,11680,10984,9,"{""type"":""Point"",""coordinates"":[73.43393067086619,18.55848528357792]}"
48,5934,13152,12200,11680,10768,9,"{""type"":""Point"",""coordinates"":[73.43402540011942,18.558486069716125]}"
49,5667,12952,12208,11488,10584,9,"{""type"":""Point"",""coordinates"":[73.4341201293774,18.558486855806816]}"
50,5667,12712,11992,11272,10416,9,"{""type"":""Point"",""coordinates"":[73.43421485864012,18.558487641849997]}"
51,6689,15496,14440,13112,12672,9,"{""type"":""Point"",""coordinates"":[73.43270001594342,18.558384712329456]}"
52,6561,15296,14080,12832,12496,9,"{""type"":""Point"",""coordinates"":[73.43279474508522,18.55838549908119]}"
53,6561,15208,13624,12584,12200,9,"{""type"":""Point"",""coordinates"":[73.43288947423176,18.55838628578541]}"
54,6567,15088,13592,12848,12152,9,"{""type"":""Point"",""coordinates"":[73.43298420338304,18.55838707244212]}"
55,6567,15256,13752,13080,12248,9,"{""type"":""Point"",""coordinates"":[73.43307893253908,18.558387859051322]}"
56,6514,15248,13904,12848,12248,9,"{""type"":""Point"",""coordinates"":[73.43317366169983,18.558388645613014]}"
57,6514,15032,13792,12744,12136,9,"{""type"":""Point"",""coordinates"":[73.43326839086535,18.558389432127193]}"
58,6331,14944,13584,12736,11984,9,"{""type"":""Point"",""coordinates"":[73.4333631200356,18.558390218593868]}"
59,6331,14832,13512,12640,11864,9,"{""type"":""Point"",""coordinates"":[73.43345784921058,18.558391005013032]}"
60,6197,14632,13232,12440,11872,9,"{""type"":""Point"",""coordinates"":[73.43355257839032,18.558391791384686]}"
61,6197,14464,12960,12216,11632,9,"{""type"":""Point"",""coordinates"":[73.43364730757479,18.55839257770883]}"
62,6107,14104,12816,12128,11416,9,"{""type"":""Point"",""coordinates"":[73.43374203676399,18.558393363985463]}"
63,6107,13680,12776,12000,11096,9,"{""type"":""Point"",""coordinates"":[73.43383676595795,18.558394150214585]}"
64,5934,13424,12608,11800,11048,9,"{""type"":""Point"",""coordinates"":[73.43393149515663,18.558394936396198]}"
65,5934,13152,12328,11680,10768,9,"{""type"":""Point"",""coordinates"":[73.43402622436008,18.558395722530303]}"
66,5667,12816,12136,11496,10576,9,"{""type"":""Point"",""coordinates"":[73.43412095356824,18.558396508616898]}"
67,5667,12816,11944,11312,10456,9,"{""type"":""Point"",""coordinates"":[73.43421568278113,18.558397294655983]}"
68,7073,15248,14504,13440,12688,9,"{""type"":""Point"",""coordinates"":[73.43270084087666,18.558294365200137]}"
69,6843,15296,14128,13080,12608,9,"{""type"":""Point"",""coordinates"":[73.43279556996865,18.558295151947767]}"
70,6843,15496,13920,12888,12576,9,"{""type"":""Point"",""coordinates"":[73.43289029906538,18.558295938647888]}"
71,6876,15528,14000,13056,12608,9,"{""type"":""Point"",""coordinates"":[73.43298502816687,18.558296725300497]}"
72,6876,15608,14080,13320,12664,9,"{""type"":""Point"",""coordinates"":[73.43307975727306,18.5582975119056]}"
73,6792,15560,14072,13136,12560,9,"{""type"":""Point"",""coordinates"":[73.43317448638405,18.558298298463193]}"
74,6792,15336,13928,13080,12432,9,"{""type"":""Point"",""coordinates"":[73.43326921549972,18.55829908497327]}"
75,6598,15280,13752,12936,12344,9,"{""type"":""Point"",""coordinates"":[73.43336394462018,18.558299871435842]}"
