system:index,B11,B2,B3,B4,B8,SCL,.geo
0,74,219,364,99,42,6,"{""type"":""Point"",""coordinates"":[73.55892010170632,18.35075166921512]}"
1,72,216,358,115,38,6,"{""type"":""Point"",""coordinates"":[73.55901472254952,18.350752384821295]}"
2,72,238,344,114,39,6,"{""type"":""Point"",""coordinates"":[73.55910934339707,18.350753100380512]}"
3,72,227,344,101,38,6,"{""type"":""Point"",""coordinates"":[73.55920396424895,18.350753815892787]}"
4,72,220,347,120,34,6,"{""type"":""Point"",""coordinates"":[73.55929858510517,18.350754531358103]}"
5,74,223,349,108,41,6,"{""type"":""Point"",""coordinates"":[73.55892085112544,18.35066131485571]}"
6,72,241,355,113,36,6,"{""type"":""Point"",""coordinates"":[73.55901547191947,18.350662030458114]}"
7,72,238,339,108,43,6,"{""type"":""Point"",""coordinates"":[73.55911009271784,18.35066274601357]}"
8,72,231,345,111,35,6,"{""type"":""Point"",""coordinates"":[73.55920471352057,18.35066346152207]}"
9,72,213,338,114,33,6,"{""type"":""Point"",""coordinates"":[73.55929933432763,18.350664176983624]}"
10,74,227,336,112,43,6,"{""type"":""Point"",""coordinates"":[73.5589216005402,18.350570960495414]}"
11,69,238,339,110,36,6,"{""type"":""Point"",""coordinates"":[73.55901622128506,18.350571676094056]}"
12,69,231,332,110,43,6,"{""type"":""Point"",""coordinates"":[73.55911084203429,18.35057239164574]}"
13,65,256,336,117,34,6,"{""type"":""Point"",""coordinates"":[73.55920546278783,18.350573107150478]}"
14,65,244,326,110,34,6,"{""type"":""Point"",""coordinates"":[73.55930008354572,18.350573822608265]}"
15,74,247,316,119,40,6,"{""type"":""Point"",""coordinates"":[73.55892234995062,18.35048060613423]}"
16,69,244,327,103,38,6,"{""type"":""Point"",""coordinates"":[73.55901697064633,18.350481321729102]}"
17,69,236,332,112,40,6,"{""type"":""Point"",""coordinates"":[73.55911159134638,18.350482037277022]}"
18,65,244,321,117,34,6,"{""type"":""Point"",""coordinates"":[73.55920621205077,18.350482752777992]}"
19,65,236,316,108,35,6,"{""type"":""Point"",""coordinates"":[73.55930083275949,18.35048346823201]}"
20,74,216,332,100,38,6,"{""type"":""Point"",""coordinates"":[73.55892309935669,18.350390251772165]}"
21,73,230,339,99,40,6,"{""type"":""Point"",""coordinates"":[73.55901772000324,18.350390967363268]}"
22,73,239,332,109,38,6,"{""type"":""Point"",""coordinates"":[73.55911234065412,18.35039168290742]}"
23,69,239,327,113,34,6,"{""type"":""Point"",""coordinates"":[73.55920696130936,18.350392398404622]}"
24,69,211,335,107,36,6,"{""type"":""Point"",""coordinates"":[73.55930158196891,18.350393113854874]}"
25,259,184,365,261,219,3,"{""type"":""Point"",""coordinates"":[73.92208088222374,18.539041924724177]}"
26,255,227,350,264,222,3,"{""type"":""Point"",""coordinates"":[73.92217561948165,18.539042465301467]}"
27,255,184,348,258,216,3,"{""type"":""Point"",""coordinates"":[73.92227035674283,18.539043005831267]}"
28,254,189,361,252,212,3,"{""type"":""Point"",""coordinates"":[73.92236509400728,18.539043546313575]}"
29,254,210,355,252,208,3,"{""type"":""Point"",""coordinates"":[73.92245983127498,18.539044086748387]}"
30,259,236,343,240,190,3,"{""type"":""Point"",""coordinates"":[73.92255456854595,18.53904462713571]}"
31,259,224,338,232,187,3,"{""type"":""Point"",""coordinates"":[73.92264930582017,18.53904516747554]}"
32,252,197,352,221,186,3,"{""type"":""Point"",""coordinates"":[73.92274404309765,18.539045707767876]}"
33,223,213,358,260,220,3,"{""type"":""Point"",""coordinates"":[73.92208144897836,18.538951559494496]}"
34,224,220,345,257,204,3,"{""type"":""Point"",""coordinates"":[73.92217618618649,18.53895210006897]}"
35,224,197,345,247,219,3,"{""type"":""Point"",""coordinates"":[73.92227092339789,18.53895264059594]}"
36,238,217,361,245,224,3,"{""type"":""Point"",""coordinates"":[73.92236566061254,18.538953181075428]}"
37,238,217,357,249,218,3,"{""type"":""Point"",""coordinates"":[73.92246039783046,18.538953721507422]}"
38,248,205,351,245,212,3,"{""type"":""Point"",""coordinates"":[73.92255513505162,18.538954261891924]}"
39,248,205,349,236,206,3,"{""type"":""Point"",""coordinates"":[73.92264987227605,18.538954802228933]}"
40,242,190,356,230,203,3,"{""type"":""Point"",""coordinates"":[73.92274460950375,18.53895534251845]}"
41,223,188,366,259,209,3,"{""type"":""Point"",""coordinates"":[73.92208201572971,18.538861194263937]}"
42,224,195,355,259,181,3,"{""type"":""Point"",""coordinates"":[73.92217675288806,18.53886173483559]}"
43,224,225,354,250,197,3,"{""type"":""Point"",""coordinates"":[73.92227149004968,18.538862275359744]}"
44,238,218,357,242,206,3,"{""type"":""Point"",""coordinates"":[73.92236622721454,18.53886281583641]}"
45,238,237,356,244,215,3,"{""type"":""Point"",""coordinates"":[73.92246096438267,18.53886335626558]}"
