B11,B2,B3,B4,B8,Label
1690,521,673,577,2408,0
1871,1078,1190,1210,1321,3
1626,518,632,440,2272,2
2849,1548,1726,1834,1837,3
1707,507,692,511,2654,2
19,252,322,149,27,4
18,242,322,156,23,4
1387,524,665,595,1728,0
19,260,340,160,25,4
2311,557,758,815,2260,1
1859,1008,1146,1308,1438,3
19,247,314,153,26,4
21,216,208,82,1,4
20,246,336,163,33,4
3255,1748,2078,2214,2244,3
2209,1004,1082,1200,1249,3
1845,1028,1194,1168,1500,3
2059,460,751,509,2894,0
2470,1074,1202,1178,1550,3
2934,621,808,1154,1966,1
1417,448,614,466,2126,2
3204,1894,2308,2552,2414,3
1988,1418,1332,1312,1797,3
1914,1050,1194,1372,1620,3
2425,743,885,1186,1682,1
2379,1660,1766,1844,2238,3
1339,522,538,641,893,1
1832,592,854,564,2907,0
1936,1003,1166,1222,1412,3
2910,1070,1344,1562,1631,3
2224,510,664,916,1671,1
1111,513,621,455,2234,2
27,202,207,80,2,4
1715,687,849,1032,1522,1
18,200,220,80,31,4
21,250,312,170,29,4
1624,407,550,402,2002,2
24,275,381,209,34,4
20,258,307,134,43,4
1538,458,630,432,2802,2
2649,871,1080,1362,1931,1
1658,504,662,506,2542,2
1714,681,824,877,1379,0
194,532,607,461,463,4
2793,627,826,1172,1976,1
27,175,216,87,1,4
19,254,344,149,25,4
1796,354,554,432,2609,0
1872,546,669,641,1942,0
1948,511,733,510,3288,2
19,260,327,158,35,4
1773,516,689,511,2932,2
1711,400,537,377,2172,2
2490,1112,1238,1320,1282,3
2041,465,714,540,2754,2
2247,523,689,786,1920,1
176,364,334,267,362,4
19,266,328,157,25,4
3255,2346,2520,2662,2931,3
1870,536,794,516,3084,2
2249,519,669,769,1856,1
1465,482,562,450,2430,2
1745,404,536,490,2210,0
26,281,282,136,65,4
24,216,223,110,60,4
1221,502,496,554,716,1
1581,458,576,441,2258,2
1863,546,678,640,1960,0
209,512,582,421,485,4
3254,908,1224,1594,2604,1
2590,1816,2010,2214,2602,3
148,258,236,184,232,4
1783,337,615,375,2923,0
28,282,380,212,38,4
1441,484,545,641,967,1
1207,434,550,350,1692,2
2383,594,772,877,2056,1
1248,512,538,413,1874,2
1453,478,653,433,2296,2
1848,1058,1152,1234,1461,3
19,247,303,158,27,4
21,221,228,105,62,4
2807,756,1070,1656,2326,1
18,246,336,147,24,4
3180,760,1080,1694,2417,1
4011,2112,2580,2930,3009,3
2566,842,974,1216,1776,1
1863,564,684,650,2037,0
1875,484,624,527,2164,2
1310,465,596,437,2230,2
1886,591,814,507,3350,0
1345,423,599,401,2358,2
1010,500,556,611,904,0
2734,548,688,899,1828,1
1666,838,912,913,1179,3
2013,1252,1518,1590,1827,3
2175,1190,1340,1540,1886,3
31,305,324,149,73,4
1478,386,544,360,2170,2
1611,604,741,627,2308,0
1196,479,542,384,1894,2
111,234,206,171,214,4
1955,828,940,979,1171,3
2494,549,752,896,2075,1
29,252,384,209,34,4
2368,1130,1396,1654,1980,3
1818,1400,1630,1754,1991,3
2297,482,646,664,2003,1
4160,2162,2482,2830,3117,3
2079,1040,1182,1278,1284,3
23,267,309,152,26,4
1754,513,651,609,2206,0
1494,775,922,792,1353,3
2202,570,683,905,1339,1
1485,521,564,669,907,1
20,226,221,92,64,4
2163,1090,1210,1382,1730,3
1793,442,568,396,2164,2
1788,580,720,518,2656,2
143,384,329,267,347,4
1374,556,570,694,917,1
2433,532,673,786,1854,1
1993,1230,1464,1704,1902,3
1332,433,576,509,2032,0
2369,1021,1128,1214,1277,3
1399,362,471,344,1978,2
2110,1126,1226,1416,1646,3
2523,571,777,948,2071,1
25,264,285,130,58,4
2883,695,957,1470,2076,1
18,237,336,156,23,4
20,242,320,159,26,4
28,232,235,109,63,4
2285,609,822,1060,1954,1
1421,412,601,388,2444,2
2735,2182,2558,2698,2743,3
1621,691,773,885,1327,0
4197,1954,2452,2952,3194,3
137,412,490,330,345,4
1802,586,724,539,3022,2
1812,584,718,700,1974,0
20,207,206,61,1,4
1875,496,700,635,2222,2
2513,548,705,972,1826,1
1664,526,683,573,2398,0
1510,426,608,438,2440,2
2147,1222,1430,1516,1582,3
195,494,604,443,456,4
2825,708,882,1224,1892,1
1933,1160,1266,1344,1632,3
85,313,372,136,49,4
2445,536,779,941,2041,1
22,227,194,98,42,4
1523,346,438,501,1168,0
2313,569,731,852,2055,1
1502,550,623,739,1089,0
1933,1040,1294,1484,1617,3
26,244,318,153,26,4
20,208,211,73,30,4
1484,532,597,419,2132,2
1009,418,548,351,1698,2
22,280,379,210,33,4
20,267,343,150,26,4
1955,576,708,726,1955,0
26,271,375,213,42,4
2050,1008,1116,1360,1550,3
1696,737,799,927,1438,0
1465,494,646,430,2534,2
1466,440,626,423,2622,2
22,189,220,86,32,4
1513,503,563,574,1272,0
23,217,190,92,50,4
2479,539,724,840,2087,1
2606,1400,1230,1244,1708,3
1790,491,700,488,2840,2
139,418,496,348,351,4
1842,836,921,961,1614,3
887,539,586,683,873,0
3365,818,1116,1636,2630,1
1649,410,551,477,2220,0
2143,1194,1360,1490,1801,3
19,235,327,157,31,4
148,258,224,177,226,4
2095,454,604,625,1840,1
1707,1444,1570,1698,1740,3
27,230,240,97,62,4
1606,398,580,373,2194,2
12,211,208,83,42,4
1727,694,881,814,1924,0
2256,512,683,883,1698,1
1652,513,653,472,2348,2
1942,565,724,683,2018,0
2769,705,894,1188,1896,1
2623,858,1028,1264,1812,1
1876,503,634,605,2097,0
1492,532,589,683,1042,1
2227,1394,1294,1382,1944,3
33,289,392,216,35,4
2417,548,808,874,2244,1
1608,562,781,531,2964,2
2908,1516,1876,2046,1851,3
160,382,347,291,288,4
1804,506,651,609,2296,0
3078,1510,1562,1610,1765,3
1606,1064,1368,1316,1614,3
1674,525,709,509,2834,2
1894,546,692,642,2036,0
18,241,321,157,24,4
20,226,336,147,27,4
1335,487,622,450,2490,2
2478,890,1198,1772,2054,1
4119,1790,2276,2622,2802,3
2512,608,786,1100,1601,1
2297,513,667,740,2164,1
1825,952,1228,1276,1333,3
2984,964,1318,1814,2442,1
2849,1554,1798,1944,1842,3
19,261,324,158,27,4
18,196,215,77,31,4
1407,442,657,498,2610,2
2711,900,1090,1400,1982,1
1880,1036,1158,1120,1661,3
1738,672,779,694,2270,0
2458,570,818,941,2102,1
2986,764,956,1336,1970,1
1969,1032,1168,1332,1634,3
1629,458,561,427,2332,2
3291,884,1230,1584,2510,1
1570,362,542,383,2338,2
1783,486,639,597,2124,0
2379,1084,1308,1360,2591,3
1168,483,586,418,2010,2
1606,1124,1274,1242,1723,3
20,272,303,121,43,4
2552,751,938,1220,1766,1
18,246,333,168,24,4
3108,720,874,1140,1709,1
2784,745,933,1220,1975,1
2062,1126,1308,1320,1396,3
256,564,545,413,552,4
1621,686,778,871,1320,0
3165,693,843,1154,1886,1
4023,819,1062,1496,2379,0
1779,932,988,1098,1289,3
32,295,374,216,33,4
2428,1164,1176,1252,1319,3
28,277,291,127,56,4
2007,1230,1400,1628,1745,3
170,255,225,154,210,4
1831,590,798,538,3065,0
1611,625,734,628,2286,0
20,230,238,108,64,4
2838,752,943,1312,2061,1
26,271,291,134,56,4
1675,760,921,950,1736,3
21,230,215,101,56,4
3181,1788,1938,2082,1877,3
3063,723,1014,1586,2392,1
1896,566,701,657,2068,0
34,302,341,160,80,4
26,283,273,137,64,4
1417,516,608,462,2414,2
4228,927,1142,1608,2512,0
151,368,335,289,296,4
20,240,327,152,32,4
16,211,205,61,10,4
20,198,213,75,31,4
20,190,197,93,22,4
2138,516,594,776,1261,1
2416,625,773,1010,1670,1
19,263,323,156,25,4
2930,780,1074,1608,2324,1
1877,873,997,1414,1846,3
2800,691,904,1226,1860,1
2397,1358,1498,1560,1667,3
96,316,365,142,51,4
1901,1316,1506,1692,1904,3
208,539,613,459,463,4
1533,507,634,502,2278,2
2663,640,804,1054,1724,1
1640,514,671,592,2222,0
2819,1166,1270,1372,1327,3
12,198,209,87,45,4
2156,881,1220,1664,1898,1
1812,591,699,672,1874,0
22,260,324,158,29,4
1955,561,721,710,1910,0
2944,623,754,961,1410,1
1570,455,616,472,2358,2
2007,867,1064,928,1391,3
1374,507,630,472,2510,2
1962,1420,1550,1718,2047,3
2088,1066,1128,1346,1594,3
2161,530,619,813,1312,1
143,374,312,272,356,4
889,502,575,651,858,0
26,248,320,158,27,4
20,246,327,157,29,4
29,277,265,118,58,4
2079,1108,1134,1222,1222,3
1491,455,625,422,2422,2
2923,725,905,1240,1816,1
2297,1382,1520,1674,2036,3
1592,474,646,461,2510,2
3173,1570,1774,2138,2306,3
1541,561,736,584,2988,2
3366,979,1316,1818,2706,1
4011,1780,2382,2780,2731,3
2189,766,976,1332,1636,1
2689,684,847,1140,1786,1
1453,422,622,424,2708,2
2941,1368,1416,1550,1575,3
1769,456,591,433,2388,2
19,241,330,157,26,4
22,202,228,78,1,4
1832,600,816,567,3002,0
1407,401,545,461,2350,0
2013,1470,1694,1874,2065,3
1631,763,774,799,1004,3
3200,1450,1390,1510,1588,3
20,246,326,145,27,4
22,259,373,209,33,4
2117,1544,1804,1824,2117,3
2238,1104,1344,1452,1851,3
19,254,318,154,27,4
28,239,247,115,61,4
1628,540,919,592,3175,0
3256,804,1162,1732,2574,1
237,516,606,440,471,4
2598,875,1068,1306,1896,1
1750,444,663,447,2820,2
299,607,688,515,477,4
2231,656,877,1188,1669,1
1454,539,617,695,1136,0
1384,471,489,550,830,1
2053,427,725,414,3350,0
25,252,292,128,59,4
21,227,201,70,2,4
1637,550,699,520,2326,2
16,231,207,74,43,4
2429,1360,1414,1436,1689,3
1245,391,516,355,2024,2
2330,595,670,932,1374,1
184,522,579,426,443,4
3593,1540,1680,1838,1762,3
2062,455,692,486,2877,0
24,227,247,97,62,4
2225,500,648,730,1932,1
2769,679,882,1194,1854,1
2281,1220,1412,1600,1671,3
