system:index,B11,B2,B3,B4,B8,SCL,.geo
0,150,377,431,228,192,10,"{""type"":""Point"",""coordinates"":[73.55891785342294,18.35102273228804]}"
1,145,415,443,212,210,10,"{""type"":""Point"",""coordinates"":[73.55901247441365,18.35102344790552]}"
2,145,408,445,247,197,10,"{""type"":""Point"",""coordinates"":[73.55910709540868,18.35102416347604]}"
3,342,522,564,491,436,3,"{""type"":""Point"",""coordinates"":[73.92208088222374,18.539041924724177]}"
4,331,559,583,511,466,3,"{""type"":""Point"",""coordinates"":[73.92217561948165,18.539042465301467]}"
5,331,550,576,512,467,3,"{""type"":""Point"",""coordinates"":[73.92227035674283,18.539043005831267]}"
6,311,525,576,534,448,3,"{""type"":""Point"",""coordinates"":[73.92236509400728,18.539043546313575]}"
7,311,543,550,546,441,3,"{""type"":""Point"",""coordinates"":[73.92245983127498,18.539044086748387]}"
8,327,517,572,529,453,3,"{""type"":""Point"",""coordinates"":[73.92255456854595,18.53904462713571]}"
9,327,520,584,513,463,3,"{""type"":""Point"",""coordinates"":[73.92264930582017,18.53904516747554]}"
10,348,507,601,508,478,3,"{""type"":""Point"",""coordinates"":[73.92274404309765,18.539045707767876]}"
11,325,525,566,513,448,3,"{""type"":""Point"",""coordinates"":[73.92208144897836,18.538951559494496]}"
12,321,525,591,506,452,3,"{""type"":""Point"",""coordinates"":[73.92217618618649,18.53895210006897]}"
13,321,537,579,516,475,3,"{""type"":""Point"",""coordinates"":[73.92227092339789,18.53895264059594]}"
14,352,520,576,530,479,3,"{""type"":""Point"",""coordinates"":[73.92236566061254,18.538953181075428]}"
15,352,544,558,529,460,3,"{""type"":""Point"",""coordinates"":[73.92246039783046,18.538953721507422]}"
16,351,516,588,501,456,3,"{""type"":""Point"",""coordinates"":[73.92255513505162,18.538954261891924]}"
17,351,570,594,515,464,3,"{""type"":""Point"",""coordinates"":[73.92264987227605,18.538954802228933]}"
18,335,507,594,501,479,3,"{""type"":""Point"",""coordinates"":[73.92274460950375,18.53895534251845]}"
19,325,554,579,523,492,3,"{""type"":""Point"",""coordinates"":[73.92208201572971,18.538861194263937]}"
20,321,552,604,506,451,3,"{""type"":""Point"",""coordinates"":[73.92217675288806,18.53886173483559]}"
21,321,531,584,531,478,3,"{""type"":""Point"",""coordinates"":[73.92227149004968,18.538862275359744]}"
22,352,545,577,519,479,3,"{""type"":""Point"",""coordinates"":[73.92236622721454,18.53886281583641]}"
23,352,521,563,521,477,3,"{""type"":""Point"",""coordinates"":[73.92246096438267,18.53886335626558]}"
24,351,532,568,492,469,3,"{""type"":""Point"",""coordinates"":[73.92255570155405,18.538863896647264]}"
